Year,State,Quarter,Amount,Population_x,Unemployment_Rate,Civilian noninstitutional population,Total Civilian Labor Force,Total Employed Civilian Labor Force,Total Unemployed Civilian Labor Force,% Civilian Labor Force Unemployed,Personal_Income,Applications,Formations,Births,GDP_Total,GDP_Accom_Food,GDP_Admin_Waste,GDP_Ag_Fish_Hunt,GDP_Arts_Recreation,GDP_Construction,GDP_Durable_Goods,GDP_Education,GDP_Finance_Insurance,GDP_Gov_Federal,GDP_Gov_Military,GDP_Gov_State_Local,GDP_Gov_Total,GDP_Healthcare_Social,GDP_Information,GDP_Management,GDP_Manufacturing,GDP_Mining_Oil_Gas,GDP_Nondurable_Goods,GDP_Other_Services,GDP_Private_Total,GDP_Prof_Tech_Services,GDP_Real_Estate,GDP_Retail,GDP_Transport_Warehousing,GDP_Utilities,GDP_Wholesale,Housing_Price_Index,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,Pop_Youth,Pop_Working,Pop_Senior,Age_Median,Population_y,Lawful_Permanent_Residents,Nonimmigrants,Naturalizations,Refugees,Asylees,Lawful_Permanent_Residents_Per_Million,Nonimmigrants_Per_Million,Naturalizations_Per_Million,Refugees_Per_Million,Asylees_Per_Million
2005,Alabama,10,7915037.0,18367984,17.830000000000002,14003425.0,8608044.0,8218029.0,390015.0,18.1,544350.0,31444,5361,60453,634709.2,14022.7,14371.3,10655.8,2111.0,30892.5,68242.4,3063.1,41979.9,24576.9,12837.1,63110.9,100525.0,39848.1,20673.5,4478.0,112003.2,10526.2,43760.8,17150.2,534184.2,33039.6,64604.2,47203.4,16544.1,15297.0,35720.3,705.25,4569805.0,3249443.0,1197062.0,27606.0,43406.0,3290.0,48998.0,4444983.0,124822.0,,,,,,,,,,,,,,,
2005,Alaska,10,2209905.0,2680318,27.7,1918691.0,1374952.0,1279623.0,95329.0,27.8,104078.4,4767,1157,10459,161839.7,4136.4,2769.6,1478.3,708.3,8149.1,634.7,529.0,5390.4,6790.2,6670.8,16726.5,30187.5,8356.5,4249.0,783.5,5058.3,41484.3,4423.5,2713.7,131652.3,5086.4,14748.7,7460.6,13219.8,1793.8,3536.8,803.09,666946.0,464201.0,23577.0,102888.0,32350.0,5488.0,38442.0,632524.0,34422.0,,,,,,,,,,,,,,,
2005,Arizona,10,11065828.0,23641404,18.57,17487348.0,11269020.0,10747243.0,521777.0,18.6,750899.7000000001,57229,10161,96199,911991.2,32558.800000000003,40277.9,8085.0,8078.2,73383.1,71010.4,7393.8,71382.1,20321.0,11228.7,87247.6,118797.4,57078.7,26737.7,8496.1,82534.4,12413.7,11524.0,18308.5,793193.9,46387.5,133571.6,74286.4,25476.1,15722.0,51022.399999999994,1100.4099999999999,5839077.0,5057542.0,218998.0,298844.0,141711.0,12384.0,109598.0,4220738.0,1618339.0,,,,,,,,,,,,,,,
2005,Arkansas,10,6802735.0,11185384,21.07,8467795.0,5340951.0,5058809.0,282142.0,21.1,311961.4,19261,3620,39208,364533.7,8548.7,7375.4,11632.6,1160.4,17466.4,35736.3,1637.3,15764.7,7891.9,3999.9,35127.100000000006,47018.8,25710.800000000003,15926.1,8885.0,67353.0,3269.5,31616.800000000003,8631.8,317515.0,12361.3,36077.5,26213.8,17112.2,7880.8,24507.4,719.31,2781097.0,2253503.0,434165.0,22032.0,29107.0,4117.0,38173.0,2643949.0,137148.0,,,,,,,,,,,,,,,
2005,California,10,108886532.0,143601660,21.57,107576085.0,70482900.0,66646885.0,3836015.0,21.8,5551535.3,274214,58093,548882,6795433.5,182424.1,203882.2,101770.9,100013.9,368961.3,494422.5,59508.3,372234.9,121860.6,90300.5,647194.4,859355.6,362703.1,480618.4,99342.3,831434.8,50667.7,337012.19999999995,166129.7,5936077.9,524996.2,928608.9,484757.9,161749.7,83938.2,372335.6,1076.47,35827943.0,27239976.0,2435330.0,489295.0,4489991.0,160962.0,1012389.0,23208112.0,12619831.0,,,,,,,,,,,,,,,
2005,Colorado,10,7974897.0,18660355,20.34,14100078.0,10208801.0,9684816.0,523985.0,20.6,696991.1,56166,10211,68944,883215.1,27936.6,28018.6,8449.9,9502.3,52740.4,43412.1,6300.2,53922.7,24751.6,14601.9,74274.0,113627.5,47009.7,66691.2,13786.2,67118.5,38069.7,23706.4,21901.2,769587.6,70024.5,121080.1,53410.600000000006,25990.7,11488.3,46145.8,1046.61,4631888.0,4153715.0,189701.0,61304.0,122152.0,6833.0,98183.0,3739469.0,892419.0,,,,,,,,,,,,,,,
2005,Connecticut,10,11894945.0,14043580,19.43,10785377.0,7219991.0,6867803.0,352188.0,19.5,693315.1,28599,3922,41718,818018.5,15426.1,20389.2,1501.8,8202.2,29819.4,62909.8,13034.6,119928.7,8607.8,7866.9,67347.1,83822.0,56239.8,34393.0,17926.9,126309.1,465.6,63399.3,17608.6,734196.4,53148.5,99472.4,47837.600000000006,13714.6,14583.0,44195.2,751.6700000000001,3506956.0,2956769.0,363122.0,13567.0,116343.0,2802.0,54353.0,3110633.0,396323.0,,,,,,,,,,,,,,,
2005,Delaware,10,2827523.0,3401777,16.5,2593881.0,1732406.0,1660994.0,71412.0,16.6,132293.4,11423,1306,11643,208194.5,4239.6,4357.8,1678.3,1396.1,10300.4,4933.3,1188.9,60145.4,1977.2,1863.6,16578.7,20419.5,11549.4,4205.9,5075.9,18263.3,5.6,13330.0,3453.2,187775.09999999998,13135.8,26527.2,9559.2,3004.6,2533.3,8053.2,794.46,845150.0,626708.0,175719.0,4457.0,23561.0,523.0,14182.0,789775.0,55375.0,,,,,,,,,,,,,,,
2005,District of Columbia,10,4471855.0,2273861,25.869999999999997,1882115.0,1278842.0,1194331.0,84511.0,26.400000000000002,119521.6,7344,677,7971,341658.2,10625.9,8708.0,2.4,3120.9,4056.4,494.1,10468.1,14818.8,97420.0,12816.6,10386.7,120623.0,14442.4,24884.3,1308.8,1140.5,0.0,646.5,21734.8,221035.1,68965.8,23979.8,4016.1,1579.2,4003.0,2947.6,1200.69,567136.0,212613.0,323785.0,2539.0,17116.0,587.0,10496.0,518552.0,48584.0,,,,,,,,,,,,,,,
2005,Florida,10,38511167.0,71855580,14.97,55971586.0,35093041.0,33754481.0,1338560.0,15.3,2550411.0,283976,37659,226240,2819561.4,112361.6,129283.5,24431.7,38163.4,221366.3,100425.5,22453.9,158279.4,49718.2,34699.1,229965.8,314383.2,191840.4,133167.2,33709.4,146498.7,4274.9,46073.2,77602.6,2505178.1,191931.0,490977.6,221346.5,77997.9,44996.5,184495.7,1107.1,17842038.0,14289528.0,2815695.0,77463.0,393025.0,15695.0,250632.0,14317971.0,3524067.0,,,,,,,,,,,,,,,
